round_epochs,loss,tp,fp,tn,fn,categorical_accuracy,precision,recall,auc,val_loss,val_tp,val_fp,val_tn,val_fn,val_categorical_accuracy,val_precision,val_recall,val_auc,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,kernel_initializer,last_activation,lr,optimizer,regularizer
100,0.7710700035095215,8042.0,2067.0,57748.0,3921.0,0.7400317788124084,0.7955287098884583,0.6722394227981567,0.9380441308021545,1.8972570896148682,1546.0,2602.0,23033.0,3581.0,0.36298030614852905,0.3727097511291504,0.3015408515930176,0.753265380859375,relu,64,0,100,16,5,RandomNormal,softmax,0.001,nadam,None
100,1.3425958156585693,1257.0,910.0,58905.0,10706.0,0.4613391160964966,0.580064594745636,0.10507398098707199,0.8133485317230225,1.3220902681350708,330.0,54.0,25581.0,4797.0,0.4887848496437073,0.859375,0.06436512619256973,0.8220334053039551,tanh,256,0.6,100,128,1,GlorotNormal,softmax,0.05,nadam,l1
100,1.4852553606033325,0.0,0.0,59815.0,11963.0,0.3672155737876892,0.0,0.0,0.7326256036758423,1.5101348161697388,0.0,0.0,25635.0,5127.0,0.34094011783599854,0.0,0.0,0.7211819887161255,relu,16,0.4,100,16,3,RandomUniform,softmax,0.05,nadam,l1_l2
100,1.48518705368042,0.0,0.0,59815.0,11963.0,0.3672155737876892,0.0,0.0,0.732714056968689,1.509941816329956,0.0,0.0,25635.0,5127.0,0.34094011783599854,0.0,0.0,0.7211819887161255,tanh,64,0,100,64,5,RandomNormal,softmax,0.001,adam,l1
100,1.4851447343826294,0.0,0.0,59815.0,11963.0,0.3672155737876892,0.0,0.0,0.7326776385307312,1.51009202003479,0.0,0.0,25635.0,5127.0,0.34094011783599854,0.0,0.0,0.7211819887161255,relu,64,0.6,100,64,1,GlorotNormal,softmax,0.05,adam,l1
100,1.4857137203216553,0.0,0.0,59815.0,11963.0,0.3672155737876892,0.0,0.0,0.7321240901947021,1.510420322418213,0.0,0.0,25635.0,5127.0,0.34094011783599854,0.0,0.0,0.7211819887161255,softmax,16,0.4,100,128,5,RandomNormal,softmax,0.05,nadam,l1
100,1.0618724822998047,4852.0,2314.0,57501.0,7111.0,0.5892334580421448,0.6770862340927124,0.4055838882923126,0.8864864706993103,1.1011383533477783,1811.0,1516.0,24119.0,3316.0,0.5034133195877075,0.5443342328071594,0.35322800278663635,0.8766285181045532,tanh,128,0.4,100,64,1,GlorotUniform,softmax,0.001,adam,l1_l2
100,1.328291416168213,1621.0,1101.0,58714.0,10342.0,0.4630945324897766,0.5955179929733276,0.13550113141536713,0.814093291759491,2.0908102989196777,1098.0,2088.0,23547.0,4029.0,0.29334893822669983,0.3446327745914459,0.21416032314300537,0.6703518033027649,relu,16,0.6,100,128,1,RandomNormal,softmax,0.001,nadam,None
100,1.1987680196762085,3330.0,1889.0,57926.0,8633.0,0.5430076122283936,0.6380532383918762,0.2783582806587219,0.8550321459770203,1.195021152496338,1046.0,926.0,24709.0,4081.0,0.4913204610347748,0.5304259657859802,0.20401793718338013,0.8542429208755493,tanh,256,0.6,100,64,1,RandomNormal,softmax,0.01,adam,l1_l2
100,0.979221761226654,5861.0,2618.0,57197.0,6102.0,0.6191591024398804,0.6912371516227722,0.4899272620677948,0.9026721715927124,0.9652776718139648,2228.0,1217.0,24418.0,2899.0,0.5783109068870544,0.6467344164848328,0.4345621168613434,0.9034618139266968,tanh,64,0.2,100,128,3,RandomNormal,softmax,0.001,adam,l2
100,1.4852585792541504,0.0,0.0,59815.0,11963.0,0.3672155737876892,0.0,0.0,0.7326307892799377,1.5102474689483643,0.0,0.0,25635.0,5127.0,0.34094011783599854,0.0,0.0,0.7211819887161255,sigmoid,16,0.6,100,128,3,GlorotUniform,softmax,0.01,nadam,l1
100,1.4860576391220093,0.0,0.0,59815.0,11963.0,0.3672155737876892,0.0,0.0,0.7325029969215393,1.5094432830810547,0.0,0.0,25635.0,5127.0,0.34094011783599854,0.0,0.0,0.7211819887161255,relu,128,0.2,100,64,5,GlorotUniform,softmax,0.001,nadam,l2
100,1.3462797403335571,1142.0,514.0,59301.0,10821.0,0.4612555503845215,0.6896135210990906,0.09546100348234177,0.806893527507782,1.3550798892974854,359.0,69.0,25566.0,4768.0,0.4226643145084381,0.8387850522994995,0.07002145797014236,0.8032963275909424,tanh,64,0.4,100,16,3,GlorotUniform,softmax,0.01,adam,l2
100,1.444562315940857,78.0,114.0,59701.0,11885.0,0.38593998551368713,0.40625,0.0065201036632061005,0.7670271396636963,1.4117255210876465,0.0,0.0,25635.0,5127.0,0.43670761585235596,0.0,0.0,0.7864425778388977,sigmoid,16,0.4,100,16,3,RandomUniform,softmax,0.001,adam,l2
100,1.4851782321929932,0.0,0.0,59815.0,11963.0,0.3672155737876892,0.0,0.0,0.7325016260147095,1.5101244449615479,0.0,0.0,25635.0,5127.0,0.34094011783599854,0.0,0.0,0.7211819887161255,softmax,128,0,100,128,3,GlorotUniform,softmax,0.05,adam,l1
